Velocidad Angular (rad/s),Radio de la Rueda (m),Relación de Transmisión,RPM
8.55383256010486,0.46578573549478375,10,17.536622063468105
5.640379043631098,0.5277287865469971,10,10.20631311298629
6.727088780510112,0.42043291434985663,10,15.279242830335928
8.340249026887912,0.45108383001694224,10,17.65603337007304
7.381788571198476,0.4689196333889917,10,15.032616119840348
6.2043252953054635,0.40728362517034117,10,14.546851063088429
7.667296156458805,0.45073397085813005,10,16.24401304112929
7.586592470669742,0.5316390361293298,10,13.627031999626688
7.152580638306532,0.5297182139956313,10,12.894046695467301
8.846258274512495,0.4622198522076175,10,18.276052733760636
